Date,Departure station,Arrival station,Route,Cancellation comments,Departure delay comments,Arrival delay comments
2019-06,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,,,"Ce mois ci, la destination a été marquée par les incidents suivants : 
- le 7 : sur l'ensemble des régions les conséquences du passage de la tempête Miguel (arbres sur les voies, limitations de vitesse...) (110 TGV impactés pour 10230 minutes perdues), 
- le 9 : un bagage oublié dans un TGV nécessite un arrêt exceptionnel à Massy TGV (11 TGV impactés pour 316 minutes perdues),
- le 10 : un accident de personne sur un Intercités vers Le Mans (18 TGV impactés pour 581 minutes perdues),
- le 11 : un incident éléctrique vers Vendôme sur la Ligne à Grande Vitesse Atlantique perturbe l'ensemble des circulations TGV (127 TGV impactés pour 11356 minutes perdues), 
- le 12 : un dérangement d'installation sur la Ligne à Grande Vitesse Atlantique (39 TGV impactés pour 1164 minutes perdues), 
- le 13 : une panne d'un OUIGO à la sortie de Paris-Montparnasse  (20 TGV impactés pour 309 minutes perdues), 
- le 14 : un heurt de cerf sur la Ligne à Grande Vitesse Atlantique (17 TGV impactés pour 630 minutes perdues), 
- le 15 : une absence d'alimentation électrique vers Ancenis (11 TGV impactés pour 973 minutes perdues), 
- le 16 : présence d'une personne aux abords des voies sur la Ligne à Grande Vitesse Atlantique (34 TGV impactés pour 1337 minutes perdues),
- le 21 : une panne d'un TGV sur la Ligne à Grande Vitesse Atlantique (17 TGV impactés pour 177 minutes perdues), 
- le 25 : une restitution tardive de travaux entre Couëron et Chantenay (6 TGV impactés pour 308 minutes perdues), 
- le 28 : un dérangement d'installation à Conerré (près du Mans) ( 30 TGV impactés pour 1275 minutes perdues) et un heurt de chevreuil sur la Ligne à Grande Vitesse Atlantique ( 51 TGV impactés pour 2160 minutes perdues)."
2018-01,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,,,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)"
2018-07,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,,,"Ce mois-ci, l'OD a été touchée par 2 journées de grève ainsi que  par les incidents suivants :
- le 4 : intempéries dans la région de Bordeaux avec plusieurs arbres sur Tes voies vers Facture, Bordeaux et Angoulême (22 TGV retardés pour 2513 minutes perdues),
- le 13 : un dérangement électrique vers Massy (33 TGV retardés pour 797 minutes perdues) et un client qui bloque les portes d'un TGV au départ de Paris-Montparnasse (10 TGV retardés pour 132 minutes perdues), 
- le 19 : un dérangement d'installation sur la ligne à grande vitesse près de Poitiers nécessite le détournement des TGV par ligne classique (14 TGV retardés pour 295 minutes perdues)
- le 25 : une défaillance sur un aiguillage après le passage d'un engin travaux sur le chantier de renouvellement des appareils de voies de la ligne à grande vitesse Atlantique (33 TGV retardés pour un total de  663 minutes perdues),
- du 27 au 30 : suite à l'incendie d'un transformateur électrique à Issy-les-Moulineaux, le vendredi 27, l'accès à la gare de Paris-Montparnasse est restreint (322 TGV supprimés et 160 détournés par Paris Austerlitz)."
2018-10,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,,,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
- le 9 : une restitution tardive de travaux  à St-Pierre-des-Corps (13 TGV retardés pour 101 minutes perdues), 
- le 10 : une défaillance électrique entre Massy et Marcoussis (23 TGV retardés pour  308 minutes perdues) , 
- le 11 : une restitution tardive de travaux suite à la panne d'un train de travaux sur la ligne à grande vitesse Atlantique (21 TGV pour 431 minutes perdues),  
- le 15 : une personne dans les voies à St-Cyr  du Gault sur la ligne à grande vitesse Atlantique nécessite l'interruption des circulations ( 32 TGV pour 620 minutes perdues),  
- le 23 : une  défaillance matériel d'un TGV entre Poitiers et Angoulême (16 TGV pour 131 minutes perdues).
- le 24 : un défaut d'alimentation électrique sur la ligne à grande vitesse Atlantique (40 TGV pour 1025 minutes perdues)."
2019-01,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,,,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
 - le 9 : un choc anormal immobilise un train OUIGO sur la ligne à grande vitesse Atlantique (53 TGV impactés pour 3007 minutes perdues) et le heurt d'un sanglier sur la ligne à grande vitesse Atlantique (25 TGV pour 1 42 minutes perdues), 
- le 14 : un dérangement de signalisation à St-Pierre-des-Coprs (10 TGV impactés pour 173' perdues),
- le 15 : une suspicion de fuite de matières dangereuses sur un train FRET vers St-Pierre-des-Corps (10 TGV impactés pour 334' perdues),
- le 17 : un bagage abandonné dans un TGV en gare de Paris-Montparnasse (9 TGV impactés pour 287' perdues),
- les 22 et 23  : les épisodes neigeux sur toute la France (83 TGV pour 1068'perdues),
- le 24 : le heurt d'un chevreuil sur la ligne à grande vitesse Atlantique (68 TGV impactés pour 3628' perdues), 
- le 29 : la tempête Gabriel (18 TGV impactés pour 482 minutes perdues), 
- le 30 : les épisodes neigeux en Ile-de-France (33 TGV impactés pour 772' minutes perdues),
- le 31 : une rupture caténaire à l'entrée de Paris-Montparnasse entraine une interruption totale des circulations (128 TGV pour 12028' perdues)."
2019-06,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,,,"Ce mois ci, la destination a été marquée par les incidents suivants : 
- le 7 : sur l'ensemble des régions les conséquences du passage de la tempête Miguel (arbres sur les voies, limitations de vitesse...) (110 TGV impactés pour 10230 minutes perdues), 
- le 9 : un bagage oublié dans un TGV nécessite un arrêt exceptionnel à Massy TGV (11 TGV impactés pour 316 minutes perdues),
- le 10 : un bagage oublié en gare de Bordeaux (23 TGV impactés pour 967 minutes perdues),
- le 11 : un incident éléctrique vers Vendôme sur la Ligne à Grande Vitesse Atlantique perturbe l'ensemble des circulations TGV (127 TGV impactés pour 11356 minutes perdues) et un heurt de  chevreuil sur la Ligne à Grande Vitesse Atlantique (8 TGV impactés pour 431 minutes perdues),
- le 12 : un dérangement d'installation sur la Ligne à Grande Vitesse Atlantique (39 TGV impactés pour 1164 minutes perdues), 
- le 13 : une panne d'un OUIGO à la sortie de Paris-Montparnasse  (20 TGV impactés pour 309 minutes perdues), 
- le 14 : un heurt de cerf sur la Ligne à Grande Vitesse Atlantique (17 TGV impactés pour 630 minutes perdues), 
- le 16 : présence d'une personne aux abords des voies sur la Ligne à Grande Vitesse Atlantique (34 TGV impactés pour 1337 minutes perdues),
- le 21 : une panne d'un TGV sur la Ligne à Grande Vitesse Atlantique (17 TGV impactés pour 177 minutes perdues), 
- le 25 : une incendie aux abords des voies vers Monts (14 TGV impactés pour  655 minutes perdues), 
- le 26 : un dérangement d'installation vers St-Pierre-des-Corps dû aux fortes chaleurs (27 TGV impactés pour 450 minutes perdues),
- le 27 : un incident électrique au nord de St-Pierre-des-Corps (16 TGV pour 459 minutes perdues),
- le 28 : le heurt d'un chevreuil sur la Ligne à Grande Vitesse Atlantique (51 TGV impactés pour  2160 minutes perdues)."
2018-01,ARRAS,PARIS NORD,ARRAS → PARIS NORD,,,"Deux accidents de personne  se sont produits sur le secteur Nord, l’un à Fresnoy avec un train Eurostar le 16, et l’autre près de Lille Europe le 25 avec un train Ouigo. 
Aussi en matière de causes retards, le domaine « Externe réseau » est bien le plus marquant avec quasiment cinq points, représentant le tiers de l’irrégularité totale. Et pour les résultats composite et cinq minutes du mois, cela correspond à une baisse d’au moins deux points.
La cause des dérangements se place en seconde position mais avec un taux bien limité, exemple de l’Incident JIC* de Pierrefitte le 10 qui a concerné 14 TGV."
2018-02,ARRAS,PARIS NORD,ARRAS → PARIS NORD,,,"Intempéries exceptionnelles vécues lors de la deuxième semaine, et d’autre part suite à la forte tension du parc Matériel qui perdure.En effet, les mauvaises conditions climatiques survenues tôt dans le mois  ont occasionné une situation de blocage, avec de multiples dérangements d’installations de sécurité. En ce qui concerne Réseau, il s’agit d’une répartition entre les dérangements d’installations de sécurité(rails cassés, incidents passages à niveau, incidents caténaires, le domaine Externe (heurts d’animaux) et les travaux (limitation de vitesse et espacements suite travaux de régénération)."
2018-03,ARRAS,PARIS NORD,ARRAS → PARIS NORD,,,"En ce qui concerne Réseau, le défaut de géométrie de la voie constaté à Pierrefitte a perturbé fortement le plan de transport à partir du 23 mars, un défaut suite à une zone boueuse découverte, avec des retards de cinq minutes au maximum  pour un volet de deux à vingt-cinq trains par jour, une situation qui perdure aujourd’hui. Pour les autres dérangements, il s’agit de l’incident de Beuvraignes le 19 (zone au rouge), l’arrachement caténaire de Goussainville le 10, et le dérangement électrique de Roissy le 15 avec un nid de pies dans la caténaire (26 trains pour 1096 minutes). 
Le train 758101 du 26 mars à Pierrefitte arrêté sous la section de séparation(zone non alimentée en courant) est l’évènement marquant du secteur « Autres EF » et du mois , il a concerné 48 trains Voyages pour 3854 minutes perdues, et  en totalité  213 trains pour 11187 minutes. Le sectionneur incriminé a été réparé depuis…"
2018-09,ARRAS,PARIS NORD,ARRAS → PARIS NORD,,,"Secteur dominant des dérangements avec  l’arrachement caténaire entre Pierrefitte et St Denis le dimanche 23 qui  a été fortement pénalisant car il a été aggravé par un envahissement de personnes dans les emprises, 53 trains Voyages ont été concernés pour 2118 minutes perdues. Pour le reste il s’agit de dérangements de zones, d’appareils de voie ou de passages à niveau. Pour le secteur Nord,  l’incident du passage à niveau 149 à Arneke le dimanche 26 est marquant avec un vrai défaut technique, incident qui a coûté 9 TGV pour 81 minutes perdues.
Le premier secteur de l’irrégularité Matériel est classé sous la dénomination « autres incidents », en exemple le TGV 7000 du vendredi 07 qui génère un manque tension en sous station de Gonesse, avec présomption de rupture d’archet (11 Tgv concernés pour 142 minutes), le second secteur concerne directement tous les types de pannes (bloc moteur, portes, veille automatique, compresseur, etc.). Enfin la tension parc est apparente pour le secteur Produit train, avec une dominante de mises à quai tardives du chantier Landy à Paris Nord, il s’agit pour cette période d’une quinzaine de trains relevés avec conséquences sur la ponctualité du chantier Paris Nord. Les technicentres subissent aussi de gros aléas de casses TGV, en exemples le TGV 7385 qui heurte un véhicule à Esquelbecq (secteur Nord), rame immobilisée plusieurs semaines en réparation, ou le TGV 7169 qui heurte un Ter à Valenciennes dans le chantier de remisage.
Néanmoins, on  compte beaucoup sur le plan d’actions mené depuis début septembre au technicentre du Landy pour redresser la disponibilité des rames. Les effets positifs sur les restrictions se font déjà sentir!"
2018-12,ARRAS,PARIS NORD,ARRAS → PARIS NORD,,,"Première cause d'irrégularité, les Autres transporteurs , en exemple sur le secteur: le 03/12arrachement de 9 pédales de PN entre Somain et Valenciennes par FRET 457171: 5 tgv concernés. Aussi le 14/12 :Défaillance FRET entre Hazebrouck et Béthune, 4 PN en RO -8 Tgv concernés
Défaillance FRET entre Valenciennes et Douai: 8 Tgv concernés
Avec l'évènelent phare du mois pour la panne Eurostar 9023 à TGV HP 50 TGV concernés (détournements LC="
2069-01,ARRAS,PARIS NORD,ARRAS → PARIS NORD,,,"Irrégularité cause Matériel stabilisée pour le secteur de la Radiale, même si le Parc a été relevé tendu une dizaine de fois pour janvier, notamment pour les Duplex. Incident phare le 21 avec le train balai 999015 en incident voyant « non desserrage » à Oignies (8 tgv)
Légère hausse des causes hors matériel sur la radiale, avec des motifs « produit Train » (mises à quai ) ou Service Voyageur pour des interventions Suge, Police ou Pompiers.
Baisse significative pour le domaine des Autres transporteurs
Évènement phare avec la défaillance du 7097 à Oignies (suite intempéries) le jeudi 31, journée neutralisée.
Irrégularité soutenue pour les cause dérangements sur la radiale avec pour principaux événements : le 29, incident CMPT ou commutateurs non retirés suite travaux de nuit à secteur Beugnâtre/Combles (32 TGV -749min), un rail cassé entre BE et CS le 21 (8 TGV), des  dérangements d’aiguille à DKQ le 02, à ARR le 03, à ARR le 07"
2018-05,BELLEGARDE (AIN),PARIS LYON,BELLEGARDE (AIN) → PARIS LYON,,,Heurt d’une personne par lQ TGV 6608 à Maisons-Alfort.
2018-06,BELLEGARDE (AIN),PARIS LYON,BELLEGARDE (AIN) → PARIS LYON,,,Détournements suite affaissement du talus à St-Béron-la-Bridoire dans les Alpes.
2018-07,BELLEGARDE (AIN),PARIS LYON,BELLEGARDE (AIN) → PARIS LYON,,,"•accident de personne avec le 6627 à Maisons-Alfort, suivi de 4 alertes radio pour personnes dans les voies avec des trains Transilien : 68 TGV retardés pour 5910 min"
2019-02,BELLEGARDE (AIN),PARIS LYON,BELLEGARDE (AIN) → PARIS LYON,,,"Pointe neige fort trafic dans les Alpes, accident de personne"
2019-06,BELLEGARDE (AIN),PARIS LYON,BELLEGARDE (AIN) → PARIS LYON,,,"Heurt d'une personne à Paris Bercy, limitation vitesse 6909 sur LN1, dérangement vers Montanay accès LN1, heurt de personne à Maisons Alfort, Dérangement d'installation vers Macon"
2018-06,BESANCON FRANCHE COMTE TGV,PARIS LYON,BESANCON FRANCHE COMTE TGV → PARIS LYON,,,Uolis suspect en gare de Paris Gare de Lyon
2018-07,BESANCON FRANCHE COMTE TGV,PARIS LYON,BESANCON FRANCHE COMTE TGV → PARIS LYON,,,"•heurt d’un chevreuil par le TGV 6171 entre Vergigny et Tonnerre : 31 TGV retardés pour 1154 min, 16 TGV de l’axe perdus à 5’."
2018-08,BESANCON FRANCHE COMTE TGV,PARIS LYON,BESANCON FRANCHE COMTE TGV → PARIS LYON,,,"•accident de personne avec le 6627 à Maisons-Alfort, suivi de 4 alertes radio pour personnes dans les voies avec des trains Transilien : 68 TGV retardés pour 5910 min"
2019-02,BESANCON FRANCHE COMTE TGV,PARIS LYON,BESANCON FRANCHE COMTE TGV → PARIS LYON,,,"Pointe neige fort trafic dans les Alpes, accident de personne"
2019-06,BESANCON FRANCHE COMTE TGV,PARIS LYON,BESANCON FRANCHE COMTE TGV → PARIS LYON,,,"Heurt d'une personne à Paris Bercy, demande de secours ECR à Dijon, heurt de personne à Maisons Alfort"
2018-07,BORDEAUX ST JEAN,PARIS MONTPARNASSE,BORDEAUX ST JEAN → PARIS MONTPARNASSE,,,"Ce mois-ci, l'OD a été touchée par 2 journées de grève ainsi que  par les incidents suivants :
- le 1er : intempéries à Puyoo avec arbre sur les voies (18 TGV retardés pour 606 minutes perdues), 
- le 4 : intempéries dans la région de Bordeaux avec plusieurs arbres sur les voies vers Facture, Bordeaux et Angoulême (22 TGV retardés pour 2513 minutes perdues),
- le 8 : une rupture caténaire près de Facture (15 TGV retardés pour 791 minutes perdues),
- le 13 : un dérangement électrique vers Massy (33 TGV retardés pour 797 minutes perdues) et un client qui bloque les portes d'un TGV au départ de Paris-Montparnasse (10 TGV retardés pour 132 minutes perdues), 
- le 15 : une rupture caténaire près de Facture (22 TGV retardés pour 1335 minutes perdues), 
- le 16 : suite aux intempéries inondation entre Bayonne et Biarritz (23 TGV retardés pour 408 minutes perdues),
- le 19 : un dérangement d'installation sur la ligne à grande vitesse près de Poitiers nécessite le détournement des TGV par ligne classique (14 TGV retardés pour 295 minutes perdues)
- le 25 : une défaillance sur un aiguillage après le passage d'un engin travaux sur le chantier de renouvellement des appareils de voies de la ligne à grande vitesse Atlantique (33 TGV retardés pour un total de  663 minutes perdues),
- du 27 au 30 : suite à l'incendie d'un transformateur électrique à Issy-les-Moulineaux, le vendredi 27, l'accès à la gare de Paris-Montparnasse est restreint (322 TGV supprimés et 160 détournés par Paris Austerlitz)."
2019-03,BORDEAUX ST JEAN,PARIS MONTPARNASSE,BORDEAUX ST JEAN → PARIS MONTPARNASSE,,,"Ce mois-ci, cette destination a été touchée par : 
- le 4 : les vents violents imposent des limitations de vitesse (27 TGV impactés pour 221 minutes perdues) et la panne d'un TGV sur la ligne à grande vitesse Atlantique (23 TGV impactés pour 724 minutes perdues), 
- le 12 : le heurt d'une barrière de chantier entre Marcoussis et Massy TGV sur la ligne à grande vitesse Atlantique (80 TGV impactés pour 3660 minutes perdues), 
- le 19 : un dérangement d'installation  sur la ligne à grande vitesse Atlantique  (27 TGV impactés pour 634 minutes perdues), et la défaillance matériel d'un TGV entre Massy et Paris (24 TGV impactés pour 417 minutes perdues), 
- le 20 : l'incendie d'une maison aux abords des voies près de Toulouse qui impactera les circulations jusqu'au 26/03 (19 TGV impactés pour 1271 minutes perdues),
- le 25 : l'envahissement des voies à Vendôme par les salariés d'Arjowiggins (56 TGV impactés pour 4488 minutes perdues) et la défaillance matériel d'un TGV vers Massy (40 TGV impactés pour 1194 minutes perdues),
- le 27 : la défaillance matériel d'un TGV vers Vendôme (14 TGV impactés pour 320 minutes perdues)."
2019-06,BORDEAUX ST JEAN,PARIS MONTPARNASSE,BORDEAUX ST JEAN → PARIS MONTPARNASSE,,,"Ce mois ci, la destination a été marquée par les incidents suivants : 
- le 7 : sur l'ensemble des régions les conséquences du passage de la tempête Miguel (arbres sur les voies, limitations de vitesse...) (110 TGV impactés pour 10230 minutes perdues), 
- le 9 : un bagage oublié dans un TGV nécessite un arrêt exceptionnel à Massy TGV (11 TGV impactés pour 316 minutes perdues),
- le 10 : un bagage oublié en gare de Bordeaux (23 TGV impactés pour 967 minutes perdues),
- le 11 : un incident éléctrique vers Vendôme sur la Ligne à Grande Vitesse Atlantique perturbe l'ensemble des circulations TGV (127 TGV impactés pour 11356 minutes perdues) et un heurt de  chevreuil sur la Ligne à Grande Vitesse Atlantique (8 TGV impactés pour 431 minutes perdues),
- le 12 : un dérangement d'installation sur la Ligne à Grande Vitesse Atlantique (39 TGV impactés pour 1164 minutes perdues), 
- le 13 : une panne d'un OUIGO à la sortie de Paris-Montparnasse  (20 TGV impactés pour 309 minutes perdues), 
- le 14 : un heurt de cerf sur la Ligne à Grande Vitesse Atlantique (17 TGV impactés pour 630 minutes perdues), 
- le 16 : présence d'une personne aux abords des voies sur la Ligne à Grande Vitesse Atlantique (34 TGV impactés pour 1337 minutes perdues),
- le 21 : une panne d'un TGV sur la Ligne à Grande Vitesse Atlantique (17 TGV impactés pour 177 minutes perdues), 
- le 25 : une incendie aux abords des voies vers Monts (14 TGV impactés pour  655 minutes perdues), 
- le 26 : un dérangement d'installation vers St-Pierre-des-Corps dû aux fortes chaleurs (27 TGV impactés pour 450 minutes perdues),
- le 27 : un incident électrique au nord de St-Pierre-des-Corps (16 TGV pour 459 minutes perdues),
- le 28 : le heurt d'un chevreuil sur la Ligne à Grande Vitesse Atlantique (51 TGV impactés pour  2160 minutes perdues)."
2018-01,BORDEAUX ST JEAN,PARIS VAUGIRARD,BORDEAUX ST JEAN → PARIS VAUGIRARD,,,"7656 du 2 + 26: Alerte à la bombe à BX
7656 du 9 +43: Soin matériel roulant (défaut onduleur)
7656 du 25 +50: Accident de personne à LE
7658 du 1 +52: Tempête CARMEN
7658 du 7 +41: Dérangement de signalisation MPW
7658 du 25 +77: Accident de personne LE"
2018-03,BORDEAUX ST JEAN,PARIS VAUGIRARD,BORDEAUX ST JEAN → PARIS VAUGIRARD,,,"13/03: Divagation de bestiaux : Collision poste 58==> 182 minutes perdues
17/03: Attente/absence matériel roulant==> 49 Minutes perdues
18/03 : Soin matériel roulant au 7656 ==> 25 minutes de perdues"
2018-09,BORDEAUX ST JEAN,PARIS VAUGIRARD,BORDEAUX ST JEAN → PARIS VAUGIRARD,,,"Soin matériel roulant, ralentissement forfaitaire, attente execution service voy, intervention SUGE, obstacle sur voies"
2018-01,BORDEAUX ST JEAN,TOURCOING,BORDEAUX ST JEAN → TOURCOING,,,"7660 du 7 +42: Dérangemetn d'insta MPW
7660 du 26 +68: Soin matériel roulant"
2018-03,BORDEAUX ST JEAN,TOURCOING,BORDEAUX ST JEAN → TOURCOING,,,"12/03 : accident de personne à SP ==> 113 minutes perdues
7/03 : Soin Matériel Roulant ==> 37 Minutes perdues
4/03: Dérangement d'installation==> 5 minutes perdues"
2018-07,BORDEAUX ST JEAN,TOURCOING,BORDEAUX ST JEAN → TOURCOING,,,"Dérangement d'installation, attente ADC, attente éxécution service voy, travaux, intervention SUGE, incident caténaire, heurt, accident RTE/Défaut d'alimentation PMP"
2018-08,BORDEAUX ST JEAN,TOURCOING,BORDEAUX ST JEAN → TOURCOING,,,"Attente matériel roulant, obstacle sur voie ou aux abords, soin matériel roulant, attente éxécution service voy, collision, espacement"
2018-11,BORDEAUX ST JEAN,TOURCOING,BORDEAUX ST JEAN → TOURCOING,,,"Dérangement d'installation, Collision au 5130, Espacement, Attente éxécution service voy"
2019-01,BREST,PARIS MONTPARNASSE,BREST → PARIS MONTPARNASSE,,,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
 - le 9 : un choc anormal immobilise un train OUIGO sur la ligne à grande vitesse Atlantique (53 TGV impactés pour 3007 minutes perdues) et le heurt d'un sanglier sur la ligne à grande vitesse Atlantique (25 TGV pour 1 42 minutes perdues), 
- le 17 : un bagage abandonné dans un TGV en gare de Paris-Montparnasse (9 TGV impactés pour 287' perdues),
- les 22 et 23  : les épisodes neigeux sur toute la France (83 TGV pour 1068'perdues),
- le 24 : le heurt d'un chevreuil sur la ligne à grande vitesse Atlantique (68 TGV impactés pour 3628' perdues), 
- le 26 : la présence sur les voies de manifestants de gilets en gare de Rennes ( 6 TGV impactés pour 232' perdues), 
- le 29 : la tempête Gabriel (18 TGV impactés pour 482 minutes perdues), 
- le 30 : les épisodes neigeux en Ile-de-France (33 TGV impactés pour 772' minutes perdues),
- le 31 : une rupture caténaire à l'entrée de Paris-Montparnasse entraine une interruption totale des circulations (128 TGV pour 12028' perdues)."
