Date,Departure station,Arrival station,Route,Pct delay due to external causes,Pct delay due to rolling stock,Pct delay due to infrastructure,Pct delay due to traffic management,Pct delay due to station management and equipment reuse,"Pct delay due to passenger handling (crowding, disabled persons, connections)"
2020-02,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,19.04761905,19.04761905,42.85714286,14.28571429,4.761904762,0.0
2020-04,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,218.89587774190275,0.0,50.0,0.0,0.0,50.0
2020-06,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,35.0,190.4200842324105,25.0,198.7610364132147,10.0,
2020-07,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,62.96296296,14.81481481,11.11111111,198.7610364132147,3.703703704,0.0
2020-08,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,218.89587774190275,12.5,25.0,21.875,72.0439601026586,
2020-09,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,25.0,35.71428571,218.65088787857883,21.42857143,0.0,
2020-10,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,42.55319149,23.40425532,27.65957447,6.382978723,0.0,0.0
2020-12,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,40.0,6.666666667,20.0,20.0,13.33333333,
2021-02,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,40.0,10.0,30.0,10.0,0.0,10.0
2021-03,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,30.0,20.0,30.0,0.0,0.0,20.0
2021-04,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,100.0,0.0,0.0,0.0,0.0,0.0
2021-05,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,26.47058824,8.823529412,8.823529412,11.76470588,2.941176471,75.91572970554272
2021-06,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,218.89587774190275,5.263157895,24.56140351,5.263157895,8.771929825,17.54385965
2021-07,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,27.77777778,,22.22222222,2.7777777777777803,13.88888889,22.22222222
2021-08,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,34.285714285714306,14.28571429,14.28571429,8.571428571,5.714285714,22.857142857142904
2021-09,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,25.925925925925903,11.11111111,22.22222222,,,25.925925925925903
2021-10,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,21.05263158,18.42105263,7.894736842,13.15789474,15.78947368,23.68421053
2021-11,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,38.46153846,9.615384615,9.615384615,11.53846154,,21.15384615
2022-01,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,21.875,9.375,,21.875,3.125,21.875
2022-03,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,218.89587774190275,190.4200842324105,12.903225806451598,9.677419355,72.0439601026586,12.903225806451598
2022-04,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,37.5,10.0,,16.25,10.0,12.5
2022-07,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,14.63414634,13.00813008,26.82926829,21.13821138,17.886178861788597,6.504065041
2022-08,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,26.041666666666703,190.4200842324105,17.70833333,17.70833333,11.45833333,9.375
2022-09,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,21.42857143,10.71428571,7.142857143,25.0,14.28571429,21.42857143
2022-10,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,7.142857143,8.928571429,44.64285714,21.42857143,10.71428571,7.142857143
2022-11,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,25.49019608,7.843137255,17.64705882,29.41176471,1.960784314,17.64705882
2022-12,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,11.11111111,33.33333333,11.11111111,29.62962963,14.81481481,0.0
2023-02,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,43.75,15.625,218.65088787857883,15.625,9.375,6.25
2023-03,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,34.78260869565219,4.347826086956521,41.30434783,10.86956522,4.347826086956521,4.347826086956521
2023-06,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,12.0,18.66666667,22.66666667,30.66666667,6.666666670000001,9.33333333
2023-07,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,218.89587774190275,15.94202899,,28.98550725,20.28985507,11.5942029
2023-08,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,5.19480519,19.48051948,24.67532468,,7.79220779,5.19480519
2023-09,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,25.92592593,9.25925926,24.07407407,20.37037037,11.11111111,9.25925926
2024-01,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,18.86792453,20.75471698,9.43396226,28.30188679,16.98113208,5.66037736
2024-04,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,18.96551724,12.06896552,25.862068970000003,27.5862069,10.34482759,5.172413790000001
2024-05,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,15.47619048,9.52380952,36.9047619,17.85714286,,75.91572970554272
2024-06,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,8.45070423,19.71830986,33.8028169,25.35211268,4.225352109999999,8.45070423
2024-07,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,26.08695652,17.39130435,26.08695652,15.94202899,,10.14492754
2024-08,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,7.31707317,7.31707317,17.07317073,34.14634146,19.51219512,14.63414634
2024-09,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,,17.39130435,,23.1884058,,
2024-10,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,31.70731707,9.75609756,21.95121951,21.95121951,2.43902439,12.19512195
2018-01,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,37.5,5.357142857,37.5,8.928571429,,1.785714286
2018-02,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,58.82352941,4.705882353,22.35294118,9.411764706,2.352941176,2.352941176
2018-03,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,40.0,15.55555556,22.22222222,15.55555556,6.666666667,0.0
2018-04,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,218.89587774190275,21.42857143,17.85714286,198.7610364132147,7.142857143,5.357142857
2018-05,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,34.92063492,22.22222222,28.57142857,3.174603175,3.174603175,7.936507937
2018-06,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,20.43010753,12.90322581,50.53763441,10.75268817,2.150537634,3.225806452
2018-07,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,8.988764045,11.23595506,52.80898876,21.34831461,3.370786517,2.247191011
2018-08,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,16.92307692,20.0,38.46153846,16.92307692,3.076923077,4.615384615
2018-09,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,19.44444444,13.88888889,25.0,27.77777778,13.88888889,0.0
2018-10,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,6.976744186,18.60465116,34.88372093,32.55813953,2.325581395,75.91572970554272
2018-12,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,23.80952381,14.28571429,30.15873016,26.98412698,3.174603175,1.587301587
2019-01,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,30.35714286,14.28571429,33.92857143,19.64285714,0.0,1.785714286
2019-02,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,31.11111111,15.55555556,,31.11111111,0.0,6.666666667
2019-03,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,40.0,14.0,30.0,14.0,72.0439601026586,2.0
2019-06,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,20.23809524,14.28571429,33.33333333,26.19047619,1.19047619,4.761904762
2019-07,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,14.28571429,21.42857143,23.21428571,28.57142857,7.142857143,5.357142857
2019-09,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,26.66666667,26.66666667,16.66666667,30.0,0.0,
2019-12,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,18.18181818,12.12121212,45.45454545,18.18181818,3.03030303,3.03030303
2020-01,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,28.57142857,21.42857143,28.57142857,14.28571429,7.142857143,
2020-02,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,29.03225806,12.90322581,48.38709677,9.677419355,0.0,0.0
2020-04,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,0.0,0.0,100.0,0.0,0.0,0.0
2020-05,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,9.090909091,12.12121212,75.75757576,3.03030303,0.0,75.91572970554272
2020-07,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,39.0625,14.0625,28.125,10.9375,3.125,
2020-08,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,34.04255319,14.89361702,34.04255319,14.89361702,0.0,
2020-09,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,29.16666667,12.5,,10.41666667,2.083333333,6.25
2020-11,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,6.666666667,6.666666667,,33.33333333,0.0,13.33333333
2020-12,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,,7.5,,35.0,7.5,0.0
2021-01,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,30.303030303030297,12.121212121212102,18.18181818,198.7610364132147,12.121212121212102,12.121212121212102
2021-03,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,218.89587774190275,190.4200842324105,25.0,22.72727272727269,6.818181818,11.36363636
2021-04,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,21.95121951219509,24.390243902439003,34.14634146,4.87804878,9.756097561,4.87804878
2021-07,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,,190.4200842324105,,8.695652173913041,4.347826086956521,17.39130435
2021-08,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,20.0,7.5,35.0,,10.0,25.0
2021-09,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,23.45679012,14.81481481,218.65088787857883,24.69135802,4.9382716049382696,12.34567901
2021-10,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,218.89587774190275,15.94202899,,11.5942029,8.695652173913041,15.94202899
2021-11,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,11.29032258,8.064516129,16.12903226,32.25806452,3.2258064516128995,29.032258064516096
2021-12,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,,5.970149254,26.86567164,22.38805970149249,4.47761194,10.44776119
2022-01,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,,18.51851852,20.37037037,18.51851852,5.555555556,16.66666667
2022-03,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,12.903225806451598,6.4516129032258105,,24.19354839,9.677419355,24.19354839
2022-04,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,31.66666667,21.66666667,18.33333333,18.33333333,8.333333333,1.666666667
2022-05,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,13.69863014,10.95890411,,17.80821918,6.849315068493151,17.80821918
2022-06,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,8.333333333,13.095238095238098,32.14285714,198.7610364132147,11.9047619,14.28571429
2022-07,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,10.75268817,12.903225806451598,24.7311828,20.43010753,3.2258064516128995,27.95698925
2022-08,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,23.75,6.25,26.25,23.75,,15.0
2022-09,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,,26.2295082,8.196721311475411,198.7610364132147,18.032786885245898,3.278688525
2022-10,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,,12.65822785,17.72151899,24.05063291,72.0439601026586,3.797468354
2023-01,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,12.727272727272702,9.090909091,20.0,32.72727273,5.454545455,20.0
2023-03,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,32.5,12.5,32.5,2.5000000000000004,72.0439601026586,17.5
2023-04,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,13.23529412,5.8823529400000005,45.58823529,22.05882353,7.35294118,5.8823529400000005
2023-05,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,13.0952381,10.71428571,218.65088787857883,19.04761905,,8.33333333
2023-06,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,24.09638554,12.04819277,19.27710843,26.5060241,8.433734939999999,9.63855422
2023-07,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,20.95238095,12.38095238,27.61904762,23.80952381,10.47619048,4.761904759999999
2023-12,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,25.0,190.4200842324105,,,4.6875,17.1875
2024-01,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,23.636363639999995,21.81818182,9.09090909,21.81818182,5.45454545,18.18181818
2024-02,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,56.75675676,8.10810811,8.10810811,16.21621622,2.7027027,8.10810811
2024-03,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,27.53623188,15.94202899,,20.28985507,8.695652169999999,4.34782609
2024-04,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,,16.666666669999998,19.04761905,26.19047619,14.28571429,7.14285714
2024-06,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,20.28985507,13.04347826,31.88405797,198.7610364132147,2.89855072,
2024-08,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,12.04819277,14.45783133,,13.25301205,6.02409639,3.61445783
2024-10,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,45.58823529,7.35294118,26.47058824,8.82352941,7.35294118,4.41176471
2024-12,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,31.42857143,14.28571429,10.0,32.85714286,5.71428571,5.71428571
2018-01,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,26.92307692,15.38461538,42.30769231,9.615384615,3.846153846,1.923076923
2018-06,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,13.95348837,13.95348837,39.53488372,25.58139535,,2.325581395
2018-07,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,20.0,,38.0,12.0,4.0,10.0
2018-08,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,11.9047619,30.95238095,28.57142857,16.66666667,0.0,11.9047619
2018-09,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,,10.86956522,36.95652174,32.60869565,0.0,8.695652174
2018-10,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,8.196721311,8.196721311,40.98360656,31.14754098,4.918032787,6.557377049
2018-11,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,,10.9375,23.4375,34.375,3.125,9.375
2018-12,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,18.36734694,10.20408163,34.69387755,26.53061224,2.040816327,75.91572970554272
2019-01,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,37.83783784,16.21621622,18.91891892,198.7610364132147,2.702702703,2.702702703
2019-03,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,36.58536585,21.95121951,21.95121951,14.63414634,0.0,4.87804878
2019-06,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,11.66666667,11.66666667,46.66666667,21.66666667,1.666666667,
2019-07,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,25.0,12.5,15.0,27.5,2.5,75.91572970554272
2019-08,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,16.66666667,12.5,25.0,20.83333333,,16.66666667
2019-09,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,24.32432432,21.62162162,218.65088787857883,16.21621622,0.0,75.91572970554272
2019-10,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,20.83333333,,39.58333333,22.91666667,,6.25
2019-11,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,11.32075472,7.547169811,41.50943396,26.41509434,11.32075472,1.886792453
2019-12,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,29.41176471,5.882352941,55.88235294,8.823529412,0.0,75.91572970554272
2020-01,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,18.18181818,2.272727273,61.36363636,13.63636364,2.272727273,2.272727273
2020-02,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,23.80952381,14.28571429,28.57142857,28.57142857,0.0,4.761904762
2020-05,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,,190.4200842324105,75.0,198.7610364132147,0.0,8.333333333
2020-06,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,18.18181818,,45.45454545,0.0,9.090909091,0.0
2020-07,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,28.0,12.0,20.0,32.0,4.0,4.0
2020-08,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,9.090909091,,30.3030303,12.12121212,,18.18181818
2020-12,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,52.0,4.0,24.0,12.0,,4.0
2021-01,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,44.0,16.0,16.0,16.0,4.0,4.0
2021-03,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,27.27272727,18.18181818,27.27272727,0.0,18.18181818,9.090909091
2021-04,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,55.55555556,22.22222222,0.0,0.0,0.0,
2021-06,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,,20.0,,0.0,26.66666667,20.0
2021-09,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,33.33333333,20.83333333,218.65088787857883,0.0,4.166666666666671,37.5
2021-11,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,,16.0,20.0,36.0,8.0,16.0
2021-12,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,20.0,,20.0,30.0,0.0,20.0
2022-01,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,28.26086957,190.4200842324105,23.91304348,,2.1739130434782603,8.695652173913041
2022-02,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,13.33333333,20.0,36.66666667,16.66666667,0.0,13.33333333
2022-04,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,,9.090909091,31.81818182,20.45454545,6.818181818,4.545454545454549
2022-05,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,,13.51351351,37.83783784,24.32432432,8.108108108,8.108108108
2022-06,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,25.42372881,11.86440678,30.50847458,11.86440678,8.474576271,11.86440678
2022-08,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,23.4375,17.1875,18.75,17.1875,10.9375,12.5
2022-09,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,11.53846154,15.38461538,21.15384615,23.07692308,5.769230769,23.07692308
2022-10,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,21.95121951,14.63414634,,12.19512195,9.756097561,19.51219512
2022-11,ANGOULEME,PARIS MONTPARNASSE,ANGOULEME → PARIS MONTPARNASSE,23.07692308,9.615384615,30.76923077,13.46153846,72.0439601026586,19.23076923
